"Survey_Number","Year","SECCHI_FT","New_Key"
2446,2006,12,"1-165"
3321,2002,9.5,"81-46"
3326,2002,7,"46-77"
3407,2002,10.5,"14-8"
3408,2002,16,"78-151"
3409,2002,6.5,"30-276"
3415,2002,7,"39-13"
3445,2002,6.1,"54-54"
3446,2002,14,"54-53"
3498,2004,10.67,"40-117"
3499,2004,7.69,"40-61"
3517,2002,13,"46-76"
3518,2002,15,"63-232"
3522,2002,32,"35-205"
3525,2002,14,"69-1"
3528,2002,9,"44-81"
3529,2002,10.5,"44-25"
3530,2002,10.5,"8-623"
3531,2002,5,"8-55"
3537,2002,13,"81-147"
3692,2002,8,"36-363"
3758,2002,8.5,"1-99"
3792,2002,8,"52-1263"
3794,2002,6.5,"1-179"
3867,2002,9,"20-105"
3868,2002,12.5,"69-185"
3878,2002,10.25,"48-461"
3879,2002,8,"48-462"
3881,2002,7.5,"2-361"
3884,2002,29,"48-222"
3931,2002,14,"22-350"
3963,2002,11,"52-1185"
3980,2002,17,"52-1585"
4023,2003,13.5,"63-673"
4024,2003,13,"46-80"
4030,2003,11.5,"47-73"
4031,2003,8.666666667,"8-141"
4032,2003,7.5,"8-202"
4033,2003,7.5,"38-568"
4037,2003,5.5,"36-2067"
4040,2003,5.5,"48-485"
4042,2003,12,"44-286"
4053,2003,13.7,"2-627"
4081,2003,10,"60-71"
4082,2003,15,"71-27"
4085,2003,8.25,"48-53"
4086,2003,8,"49-280"
4087,2003,13.5,"48-49"
4089,2003,10,"71-127"
4129,2003,14,"41-516"
4134,2003,14,"36-1936"
4135,2003,20,"22-383"
4136,2003,17.5,"48-621"
4137,2003,21.5,"48-622"
4156,2003,17,"60-167"
4169,2003,6,"26-2"
4181,2003,8,"35-9"
4210,2003,13,"35-96"
4299,2003,7,"71-52"
4326,2003,6,"71-53"
4336,2002,7.8,"67-242"
4544,2003,10,"66-31"
4552,2004,4.95,"63-2"
4553,2004,16.5,"63-1650"
4554,2004,7.425,"47-101"
4580,2003,4.5,"75-294"
4581,2003,2.5,"2-104"
4584,2004,10.08666667,"57-45"
4594,2004,30.435,"40-104"
4604,2004,6.325,"18-6"
4915,2004,5.775,"75-742"
5202,2005,8,"5-97"
5368,2004,4.95,"27-696"
5371,2004,10.725,"10-111"
5372,2004,9.9,"10-95"
5373,2004,8.25,"10-19"
5375,2004,4.125,"31-585"
5408,2004,14.025,"42-86"
5473,2005,10,"24-71"
5508,2005,12,"47-379"
5509,2005,14,"39-270"
5511,2005,11.5,"17-209"
5736,2005,10,"27-520"
5998,2005,16.5,"26-33"
5999,2005,8.642857143,"54-90"
6249,2006,6,"14-154"
6255,2006,3.5,"7-285"
6257,2006,6,"78-171"
6258,2006,20.5,"1-63"
6259,2006,7,"81-266"
6261,2006,11.5,"63-279"
6262,2006,11,"63-278"
6267,2006,9,"43-37"
6281,2006,19,"47-472"
6282,2006,3,"66-575"
6297,2006,10,"36-849"
6298,2006,6.5,"1-29"
6303,2006,5,"70-164"
6309,2006,12,"41-29"
6320,2006,19,"75-297"
6337,2006,7.75,"43-198"
6376,2006,14,"48-43"
6377,2006,22.5,"48-643"
6452,2006,5.9,"17-265"
6453,2006,4,"17-497"
6506,2006,3.2,"27-761"
6507,2006,5,"36-1529"
6572,2006,5,"48-608"
6665,2006,13,"52-1360"
6693,2006,7.5,"52-1356"
6865,2007,8,"79-2"
6887,2007,8,"56-14"
6888,2007,14,"18-206"
6889,2007,15,"18-196"
6890,2007,17,"59-395"
6901,2007,12.5,"47-68"
6911,2007,1,"79-44"
6912,2007,8.5,"3-178"
6924,2007,5.57,"3-71"
6926,2007,23,"47-252"
6927,2007,9,"63-731"
6933,2007,15,"44-79"
6952,2007,16,"65-161"
7101,2007,19,"42-146"
7169,2007,13.3,"31-909"
7195,2007,6,"54-306"
7203,2007,7.5,"2-32"
7206,2007,20,"52-259"
7224,2007,7.5,"52-196"
7232,2007,9,"10-77"
7331,2008,2.5,"25-163"
7332,2008,3,"25-124"
7333,2008,7,"35-5"
7334,2008,16,"18-69"
7335,2008,14,"18-71"
7336,2008,7,"59-403"
7406,2008,11,"28-84"
7419,2008,11,"62-269"
7451,2008,3.5,"25-125"
7522,2008,11,"36-204"
7530,2008,4,"18-57"
7551,2008,11,"81-18"
7552,2008,11,"81-6"
7553,2008,11.5,"47-153"
7556,2008,9,"35-199"
7557,2008,15.5,"68-142"
7558,2008,17,"1-16"
7559,2008,21.5,"35-201"
7560,2008,14.55,"8-619"
7588,2008,10,"5-75"
7599,2008,15,"59-369"
7619,2008,6.5,"69-225"
7646,2008,10.5,"26-23"
7647,2008,17,"37-139"
7693,2008,13.5,"52-710"
7694,2008,19,"48-171"
7819,2008,8,"8-84"
7825,2008,3,"61-66"
7856,2008,9,"61-144"
7927,2009,9,"51-142"
7958,2008,6,"75-744"
7971,2008,12,"52-255"
8059,2009,15,"81-107"
8060,2009,12,"81-71"
8061,2009,7.5,"81-5"
8063,2009,12,"63-789"
8070,2009,22,"18-215"
8072,2009,21,"65-149"
8075,2009,12,"54-232"
8076,2009,11,"54-118"
8077,2009,12,"37-109"
8078,2009,11,"26-4"
8081,2009,8,"44-271"
8093,2009,15.5,"78-93"
8109,2009,4.5,"41-255.1"
8113,2009,36,"36-137"
8114,2009,15,"22-65"
8115,2009,12,"45-58"
8125,2009,20,"36-174"
8143,2009,5.5,"61-197"
8144,2009,8,"62-128"
8182,2009,6,"8-603"
8183,2009,7,"8-604"
8239,2009,11,"75-1048"
8241,2009,5.5,"49-97"
8242,2009,4.5,"49-336"
8244,2009,2.5,"48-449"
8245,2009,13,"48-28"
8246,2009,26.5,"52-139"
8267,2009,6,"52-1152"
8269,2009,5.1,"75-365"
8390,2010,9,"65-151"
8391,2010,3.5,"29-101"
8392,2010,8.5,"47-469"
8393,2010,15,"26-64"
8394,2010,11,"18-66"
8466,2010,24,"60-162"
8467,2010,9,"68-103"
8471,2010,5,"72-95"
8475,2010,24,"16-82"
8477,2010,9.58,"4-1"
8478,2010,13,"49-166"
8489,2010,9,"42-18"
8490,2010,5,"42-93"
8491,2010,9,"31-825"
8508,2010,11,"46-91"
8515,2010,19,"63-865"
8524,2010,10,"35-219"
8530,2010,28,"36-34"
8531,2010,8,"41-464"
8532,2010,12.5,"62-11"
8535,2010,18.8,"48-573"
8536,2010,3.7,"48-105"
8542,2010,3.5,"3-63"
8548,2010,2.5,"3-297"
8549,2010,6,"2-95"
8566,2010,22,"36-190"
8653,2010,10.5,"39-249"
8711,2010,8,"75-69"
8736,2010,7,"34-69"
8741,2010,12.5,"78-128"
8826,2011,20,"25-35"
8827,2011,4,"32-5"
8828,2011,9,"44-159"
8829,2011,14,"35-95"
8855,2011,18,"51-126"
8862,2011,28.5,"72-117"
8866,2011,14.6,"69-157"
8872,2011,7,"49-117"
8877,2011,14,"52-182"
8893,2011,5,"12-76"
8894,2011,4,"78-42"
8897,2011,4,"12-86"
8898,2011,7,"50-175"
8911,2011,11,"36-307"
8912,2011,12.25,"30-245"
8992,2011,6.7,"1-52"
9064,2011,4,"70-73"
9069,2012,12,"25-46"
9072,2012,24,"65-133"
9073,2012,7,"26-12"
9074,2012,14,"18-197"
9075,2012,13,"54-194"
9076,2012,7.5,"44-230"
9216,2012,8,"60-226"
9221,2012,5.5,"17-514"
9222,2012,18,"48-175"
9224,2012,7.5,"49-262"
9225,2012,9,"49-280"
9242,2012,6,"82-157"
9252,2012,9,"15-56"
9255,2012,7,"65-135"
9282,2012,19,"20-96"
9291,2012,5.5,"42-61"
9301,2012,2.5,"7-297"
9309,2012,10.5,"12-23"
9316,2012,9,"36-384"
9359,2012,7.5,"8-602"
9363,2012,11,"12-21"
9371,2012,20.5,"36-17"
9600,2013,18,"48-43"
9601,2013,7.5,"48-53"
9649,2013,12,"63-1546"
9669,2013,5.2,"37-67"
9672,2013,12.5,"16-194"
9675,2013,11,"26-35"
9702,2013,5.4,"9-50"
9745,2013,12.8,"18-375"
9816,2013,11.5,"63-1203"
9895,2013,14,"31-263"
9945,2013,3.5,"42-34"
9996,2013,19.5,"52-666"
10054,2014,13,"65-123"
10055,2014,11,"65-57"
10056,2014,3.8,"29-59"
10057,2014,7.5,"54-195"
10058,2014,16,"44-316"
10059,2014,11,"63-1047"
10110,2014,17,"48-49"
10151,2014,10,"63-869"
10157,2014,9.4,"26-3"
10158,2014,17,"60-91"
10168,2014,15,"36-355"
10192,2014,13.5,"12-90"
10312,2014,13,"16-252"
10375,2014,9,"22-182"
10376,2014,13,"21-266"
10454,2015,4,"48-654"
10478,2015,8.4,"47-485"
10480,2015,10.8,"25-134"
10524,2015,5.8,"56-14"
10528,2015,11.3,"18-12"
10529,2015,10.6,"18-5"
10530,2015,13,"26-32"
10531,2015,8.9,"65-121"
10532,2015,6.9,"65-30"
10541,2015,4,"2-566"
10544,2015,10,"60-223"
10558,2015,8,"4-20"
10568,2015,6.5,"8-493"
10570,2015,10,"8-413"
10571,2015,16,"41-510"
10588,2015,10,"63-780"
10590,2015,14,"46-163"
10628,2015,19,"52-1288"
10630,2015,11.5,"16-193"
10744,2015,13.5,"69-78"
10761,2016,13.5,"37-110"
10762,2016,9.2,"37-111"
10765,2016,8.7,"65-63"
10768,2016,17.8,"73-78"
10932,2016,9,"49-127"
10950,2016,12,"4-16"
10955,2016,7,"71-154"
10957,2016,9.8,"35-200"
10964,2016,12,"30-259"
10975,2016,14,"63-871"
10979,2016,17,"27-97"
10980,2016,6.7,"37-112"
10987,2016,15,"10-66"
10988,2016,8.2,"35-105"
11012,2016,14.5,"61-109"
11036,2016,7,"34-73"
11037,2016,12,"3-153"
11038,2016,11,"30-222"
11053,2016,5.5,"64-251"
11138,2016,3.5,"27-1026"
11140,2016,6,"7-183"
11143,2016,6,"21-454"
11146,2016,4,"7-272"
11294,2017,11.3,"44-81"
11333,2017,3,"75-1078"
11363,2017,8.6,"35-109"
11364,2017,7.7,"35-4"
11368,2017,3.5,"82-235"
11374,2017,12,"16-192"
11377,2017,4,"20-28"
11381,2017,9.1,"37-120"
11384,2017,12.5,"65-10"
11385,2017,14.8,"26-53"
11388,2017,13,"54-90"
11439,2017,7,"18-125"
11454,2017,5,"52-1185"
11456,2017,9,"36-2"
11457,2017,4.5,"52-1246"
11458,2017,8,"42-86"
11499,2017,16,"78-130"
11502,2017,5.5,"38-381"
11601,2018,2.5,"2-567"
11658,2018,8.5,"63-1692"
11659,2018,10,"47-379"
11688,2018,4,"35-54"
11689,2018,9.8,"35-104"
11691,2018,1.8,"26-2"
11692,2018,15,"26-20"
11725,2018,7.7,"60-208"
11729,2018,11.7,"35-176"
11733,2018,27.5,"5-51"
11734,2018,18,"16-1337"
11738,2018,8,"81-179"
11745,2018,20.2,"20-76"
11746,2018,11.1,"65-48"
11779,2018,11.5,"22-236"
11780,2018,13,"36-1536"
11781,2018,15,"52-846"
11782,2018,7,"52-839"
11784,2018,4,"21-257"
11908,2018,8,"8-623"
11914,2018,7.5,"30-278"
11982,2019,11.3,"47-472"
12009,2019,15.2,"18-6"
12011,2019,7.1,"35-9"
12013,2019,3.1,"65-60"
12014,2019,24,"69-92"
12015,2019,8.1,"65-79"
12016,2019,15.8,"35-96"
12019,2019,14,"65-161"
12020,2019,8.7,"24-27"
12027,2019,6.3,"62-158"
12034,2019,6,"24-204"
12044,2019,17,"36-132"
12046,2019,6,"7-540"
12047,2019,4,"31-1164"
12048,2019,15,"36-132"
12071,2019,8,"22-123"
12072,2019,10,"66-293"
12103,2019,13,"48-49"
12104,2019,8,"21-479"
12105,2019,14,"17-403"
12106,2019,13,"48-566"
12107,2019,9,"2-461"
12109,2019,11,"75-47"
12144,2019,8,"48-24"
12154,2019,14,"48-223"
12177,2019,5,"81-376"
12242,2019,10,"52-1268"
12423,2020,13,"75-927"
12471,2020,7,"48-583"
